Date,Sales
1997-01-01,16475
1997-02-01,26996
1997-03-01,41323
1997-04-01,31550
1997-05-01,8226
1997-06-01,868
1997-07-01,9468
1997-08-01,20030
1997-09-01,29545
1997-10-01,26637
1997-11-01,18069
1997-12-01,15681
1998-01-01,21043
1998-02-01,30696
1998-03-01,45223
1998-04-01,34618
1998-05-01,12226
1998-06-01,4448
1998-07-01,13268
1998-08-01,23098
1998-09-01,33113
1998-10-01,30237
1998-11-01,21169
1998-12-01,18981
1999-01-01,37196
1999-02-01,29036
1999-03-01,34116
1999-04-01,22486
1999-05-01,10662
1999-06-01,8067
1999-07-01,10315
1999-08-01,28182
1999-09-01,28959
1999-10-01,28660
1999-11-01,19516
1999-12-01,21426
2000-01-01,59420
2000-02-01,32388
2000-03-01,27518
2000-04-01,18258
2000-05-01,8065
2000-06-01,6110
2000-07-01,16753
2000-08-01,21524
2000-09-01,30068
2000-10-01,33707
2000-11-01,24715
2000-12-01,19422
